Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C14, C2, C6, C9",1206,6,100nf,C77502
"C11, C12, C13, C16, C17, C18, C19, C20",0603,8,1u,C559292
C15,1206,1,22uf,C304004
C3,1206,1,4u7,C91602
"C4, C5, C7, C8",1206,4,22u,C304004
D4,1206,1,LED,
F2,1206,1,Polyfuse 1A,C66453
FB1,0603,1,BLM21PG221,C85840
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,C2760486
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
Q1,SOT-363_SC-70-6,1,UMH3N,C62892
"R1, R2",1206,2,5k1,C212533
"R11, R7, R8",1206,3,10k,C118075
R3,0603,1,10k,C384294
"R4, R5, R6, R9",1206,4,1k,C131398
"SW1, SW2",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,SW_SPST,C221869
U1,ESP32-WROOM-32D,1,ESP32-WROOM-32D,C473012
U2,SOT-666,1,USBLC6-2P6,C2827693
U3,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,1,CP2104,C47742
U5,NHD-C12832A1Z-FSRGB,1,NHD-C12832A1Z-FSRGB,
U6,SOT-223-3_TabPin2,1,TLV1117LV-3.3,C15578
