Designator,Mid X,Mid Y,Rotation,Layer
C1,135.1,-105.925,90.0,top
C10,106.7,-48.3,180.0,top
C11,123.4,-87.3,0.0,top
C12,115.1,-88.775,270.0,top
C13,116.6,-88.775,270.0,top
C14,114.75,-45.5,270.0,top
C15,112.4,-45.5,270.0,top
C16,118.1,-88.775,270.0,top
C17,119.6,-88.775,270.0,top
C18,121.1,-88.775,270.0,top
C19,128.7,-88.075,270.0,top
C2,141.0,-98.8,0.0,top
C20,126.4,-87.3,180.0,top
C3,132.9,-91.0,0.0,top
C4,132.9,-93.4,0.0,top
C5,132.9,-95.85,0.0,top
C6,132.9,-98.2,0.0,top
C7,139.0,-93.8,90.0,top
C8,150.7,-94.5,270.0,top
C9,101.9,-105.925,90.0,top
D4,152.5,-106.4,90.0,top
F2,137.5,-100.7625,90.0,top
FB1,134.0,-101.5,270.0,top
J1,127.5,-105.86,0.0,top
J2,152.1,-44.16,0.0,top
Q1,112.6,-94.9,180.0,top
R1,118.0,-105.7625,270.0,top
R11,106.7,-45.9,0.0,top
R2,120.3,-105.75,270.0,top
R3,128.5,-90.3,0.0,top
R4,103.8,-85.3,0.0,top
R5,150.3625,-83.1,180.0,top
R6,152.5,-101.7875,270.0,top
R7,104.3,-105.9375,270.0,top
R8,137.5,-105.9375,270.0,top
R9,150.3625,-85.4,180.0,top
SW1,111.0,-105.0,0.0,top
SW2,144.0,-105.0,0.0,top
U1,127.6,-50.93,0.0,top
U2,127.5,-98.5,90.0,top
U3,127.4,-93.65,90.0,top
U5,115.1,-85.4825,0.0,top
U6,144.75,-93.1,0.0,top
